Year,Subgraph_SR_MEX,Nodes_Count,Edges_Count
2000,0.15089625120162964,222,2309
2001,0.1666940301656723,222,2309
2002,0.15983717143535614,222,2309
2003,0.16596509516239166,222,2309
2004,0.16567286849021912,222,2309
2005,0.1729150414466858,222,2309
2006,0.15866674482822418,222,2309
2007,0.15387322008609772,222,2309
2008,0.17674922943115234,222,2223
2009,0.1700066775083542,222,2269
2010,0.1707298308610916,222,2313
2011,0.18888172507286072,222,2225
2012,0.20019324123859406,222,2260
2013,0.197770357131958,222,2260
2014,0.1691512167453766,222,2259
