Year,Subgraph_SR_TWN,Nodes_Count,Edges_Count
2000,0.29070425033569336,167,2374
2001,0.28342416882514954,167,2374
2002,0.31183815002441406,167,2374
2003,0.3287810683250427,167,2374
2004,0.36285462975502014,167,2374
2005,0.35621926188468933,167,2374
2006,0.3712613582611084,167,2374
2007,0.36844402551651,167,2439
2008,0.3715055286884308,167,2439
2009,0.3564009368419647,167,2439
2010,0.4117613136768341,167,2439
2011,0.4245857894420624,167,2342
2012,0.4143078625202179,167,2342
2013,0.393890380859375,167,2342
2014,0.3861203193664551,167,2342
