Year,Subgraph_SR_CHN,Nodes_Count,Edges_Count
2000,0.28537872433662415,56,2109
2001,0.2939426600933075,56,2109
2002,0.2766171395778656,56,2109
2003,0.280669242143631,56,2175
2004,0.309714674949646,56,2175
2005,0.3142429292201996,56,2175
2006,0.3222692310810089,56,2175
2007,0.32493773102760315,56,2156
2008,0.32090070843696594,56,2176
2009,0.31443095207214355,56,2176
2010,0.28546828031539917,56,2176
2011,0.301927387714386,56,2176
2012,0.3001684248447418,56,2169
2013,0.3020969331264496,56,2169
2014,0.29760831594467163,56,2169
